Date;Group;Series;Value
05/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
06/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8087
07/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,81
08/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
09/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
12/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8087
13/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8078
14/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8078
15/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8087
16/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
19/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8081
20/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8078
21/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
22/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
23/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
26/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8081
27/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8074
28/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8071
29/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8058
30/07/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8052
02/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8058
03/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8074
04/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8084
05/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
06/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8087
09/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8094
10/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8097
11/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8087
12/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8081
13/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8074
16/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8058
17/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8052
18/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8065
19/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8061
20/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8071
23/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8091
24/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,811
25/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8117
26/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8123
27/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8133
30/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,815
31/08/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
01/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
02/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8157
03/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8147
06/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8153
07/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8143
08/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8177
09/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8153
10/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8153
13/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8177
14/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8177
15/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8167
16/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8147
17/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8157
20/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8183
21/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8203
22/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,821
23/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8203
24/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8224
27/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8227
28/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,82
29/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8203
30/09/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8207
01/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,823
04/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8261
05/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8217
06/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8237
07/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8227
08/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8227
11/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8203
12/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8224
13/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,82
14/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8203
15/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8173
18/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8167
19/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8187
20/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8183
21/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8207
22/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8177
25/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8173
26/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8207
27/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8244
28/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8241
29/10/2004;Currencies against Swedish kronor;1 SEK = ? DKK;0,8203
